City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,paramonga,-10.6667,-77.8333,18.37,93,68,5.76,PE,1698703262
239,codrington,-38.2667,141.9667,11.65,60,32,6.09,AU,1698703374
240,buka,40.8108,69.1986,17.42,41,98,1.01,UZ,1698703374
241,eraan,9.0629,117.7016,25.53,88,86,2.15,PH,1698703375
242,bahir dar,11.5936,37.3908,17.07,89,100,1.04,ET,1698703375
243,carnarvon,-24.8667,113.6333,20.0,72,0,7.71,AU,1698702833
244,port macquarie,-31.4333,152.9167,23.27,40,50,0.96,AU,1698703333
245,acarau,-2.8856,-40.12,26.02,78,66,7.2,BR,1698702739
246,narasannapeta,18.4167,84.05,21.74,86,41,2.55,IN,1698703377
247,tyukhtet,56.5389,89.3011,-6.73,79,100,4.62,RU,1698703378
248,mirnyy,62.5353,113.9611,-18.76,84,95,3.13,RU,1698703378
249,cumana,10.4635,-64.1775,27.14,80,97,4.72,VE,1698703379
250,tebingtinggi,3.3285,99.1625,23.57,96,100,0.91,ID,1698703380
251,hendersonville,36.3048,-86.62,7.21,94,100,1.34,US,1698703120
252,lichuan,30.3,108.85,9.71,87,36,0.44,CN,1698703315
253,goundam,16.4145,-3.6708,32.29,11,77,4.1,ML,1698703382
254,teguise,29.0605,-13.564,20.12,78,20,2.06,ES,1698703382
255,port blair,11.6667,92.75,27.02,89,40,3.6,IN,1698702871
256,atherton,53.5237,-2.4935,9.6,93,100,0.45,GB,1698703384
257,yanykurgan,43.915,67.2481,11.03,89,100,4.7,KZ,1698703384
258,goure,13.9835,10.2704,29.71,14,77,4.45,NE,1698702890
259,mejit,10.2753,170.8646,27.83,81,61,8.85,MH,1698703386
260,prokhorovka,51.0374,36.7325,12.76,69,100,6.14,RU,1698703387
261,meadow lake,34.8014,-106.5436,10.14,34,0,2.27,US,1698703387
262,haiku-pauwela,20.9219,-156.3051,29.01,65,20,8.23,US,1698702846
263,nagqu,31.5,92.0,-6.64,88,100,0.97,CN,1698703160
264,rochester,43.1548,-77.6156,7.08,88,100,4.12,US,1698703026
265,kayar,14.9192,-17.1211,28.11,78,12,4.84,SN,1698703390
266,yeppoon,-23.1333,150.7333,21.88,46,2,1.72,AU,1698703390
267,mahilyow,53.9139,30.3364,7.81,95,48,2.77,BY,1698703391
268,barra do bugres,-15.0725,-57.1811,25.31,83,82,3.28,BR,1698703392
269,watford city,47.8022,-103.2832,-5.47,73,20,8.23,US,1698703393
270,yaren,-0.5472,166.916,28.44,69,62,1.76,NR,1698703393
271,meybod,32.2501,54.0166,20.01,28,100,6.44,IR,1698703394
272,haikou,20.0458,110.3417,23.07,100,75,1.0,CN,1698703212
273,bidar,17.9,77.55,18.9,67,2,2.22,IN,1698703395
274,quang ngai,15.1167,108.8,23.54,95,100,2.38,VN,1698703396
275,usinsk,65.9939,57.5281,-8.85,81,100,3.13,RU,1698702866
276,nar'yan-mar,67.6713,53.087,-6.61,95,97,4.47,RU,1698702793
277,ujae,8.9322,165.7642,28.34,79,100,9.72,MH,1698702821
278,tondano,1.3038,124.9112,18.05,89,98,0.92,ID,1698702887
279,utrik,11.2278,169.8474,28.08,80,73,8.59,MH,1698702848
280,nuku'alofa,-21.1333,-175.2,27.19,78,20,7.72,TO,1698702825
